#
# Header Description:
#
# GEA Version: 2.0.0
#
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
#
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,31,0.0,85026,146056916912114,12,43.65531539916992,458.57713490737024,0.15,25,6028.678764082956,0.0009356208029203117,1575420030,,,,0,,6,,39.74531555175781,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,33,0.0,85026,146056912946375,18,39.18471908569336,-50.94390834667189,0.15,25,-453.51481672956936,0.0015654157614335418,1575420030,,,,0,,6,,35.27471923828125,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,3,0.0,84003,146056912785936,7,34.33130645751953,-111.09214194312221,0.5761936831002692,25,-1501.7827417787837,0.0033966198097914457,1176450050,,,,0,,6,,30.571308135986328,-7.339869625866411,8.171281927711767,-7.339869625866411,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,5,0.0,84003,146056921577175,28,27.533981323242188,406.07791626035055,1.0339879743359983,16,5443.581830507234,340282346638528860000000000000000000000,1176450050,,,,0,,6,,23.77398109436035,-8.07868782430887,8.171281927711767,-8.07868782430887,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,9,0.0,16384,146056909089005,1000000000,20.813535690307617,719.5268730075722,299792458,16,7740.812989275218,340282346638528860000000000000000000000,1176450050,,,,0,,6,,17.05353546142578,-6.785755977034567,8.171281927711767,-6.785755977034567,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,12,0.0,16384,146056909337621,1000000000,19.328031539916992,-444.97162275820347,299792458,16,-4360.486703400311,340282346638528860000000000000000000000,1176450050,,,,0,,6,,15.568032264709473,3.9271079003810856,8.171281927711767,3.9271079003810856,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,24,0.0,84003,146056921634010,21,33.86516189575195,51.900624202802504,0.5987472827331537,25,339.0116351223936,0.0035838864278048277,1176450050,,,,0,,6,,30.105161666870117,-2.906960435211658,8.171281927711767,-2.906960435211658,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,25,0.0,84003,146056912346247,115,22.31955909729004,-308.72103837837744,1.1162694148426606,16,-4473.112471132718,340282346638528860000000000000000000000,1176450050,,,,0,,6,,18.559558868408203,-8.07868782430887,8.171281927711767,-8.07868782430887,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,31,0.0,84003,146056916912042,17,30.45985221862793,458.80978175559494,0.7510308271400716,25,7541.4099928805845,0.0053041973151266575,1176450050,,,,0,,6,,26.699851989746094,-9.741028770804402,8.171281927711767,-9.741028770804402,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,33,0.0,84003,146056912946308,12,31.052387237548828,-50.44898847489003,1.1247448963453897,16,-679.6883966677619,340282346638528860000000000000000000000,1176450050,,,,0,,6,,27.292387008666992,-1.6140285879373555,8.171281927711767,-1.6140285879373555,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,6,0.0,16385,146056871579587,46,27.361780166625977,132.92517613812367,1.561901661050876,16,309.37418757651614,340282346638528860000000000000000000000,1176450050,,,,0,,7,,23.451780319213867,-32.30030813900531,1.5000000237487257,-32.30030813900531,1.5000000237487257,C,665823412033000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,6,0.0,16431,146057923054435,12,43.272823333740234,-19.13930168187875,0.15,17,-289.91018362127363,0.0961245790012998,1575420030,,,,0,,1,,39.362823486328125,0.43655744850213174,1.0,0.43655744850213174,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,11,0.0,16431,146057920775015,13,45.305233001708984,-360.1094075199492,0.15,25,-5086.784400335434,0.0008156102849170566,1575420030,,,,0,,1,,41.395233154296875,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,12,0.0,16431,146057932616180,14,41.8758544921875,185.97187832549753,0.15,29,2631.2046381885007,0.0011483464622870088,1575420030,,,,0,,1,,37.96585464477539,-0.5238689680255122,1.0,-0.5238689680255122,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,19,0.0,16385,146057920756182,14,41.95005798339844,739.5850121554636,0.15,16,2415.2939753920655,340282346638528860000000000000000000000,1575420030,,,,0,,1,,38.04005813598633,0.0,1.0,0.0,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,24,0.0,16431,146057926781031,17,39.526676177978516,672.0738687908633,0.15,17,9637.3304185759,0.09665182026856368,1575420030,,,,0,,1,,35.616676330566406,0.23283063588747532,1.0,0.23283063588747532,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,25,0.0,16419,146057930673489,21,36.92379379272461,-262.4073936419978,0.15,21,-3783.9961972063284,0.09717767770689702,1575420030,,,,0,,1,,33.0137939453125,-1.6007106776444318,1.0,-1.6007106776444318,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,29,0.0,16385,146057918929011,42,28.606243133544922,-609.3104797848036,5.838127230617264,16,-874.971320984057,340282346638528860000000000000000000000,1575420030,,,,0,,1,,24.696243286132812,-0.5529727912983312,1.0,-0.5529727912983312,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,32,0.0,16419,146057924611742,16,40.546504974365234,-5.6904266449686,0.15,17,-96.97579643297225,0.09648509629823988,1575420030,,,,0,,1,,36.636505126953125,-0.05820765897186883,1.0,-0.05820765897186883,1.0,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,6,0.0,81921,146057923054368,83,22.80471420288086,-19.299352897709866,1.0927812103473147,16,-357.88195667779746,340282346638528860000000000000000000000,1176450050,,,,0,,1,,19.044713973999023,2.2409949884661438,7.671281903963041,2.2409949884661438,1.0,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,11,0.0,81921,146057920774946,6,34.238319396972656,-360.2455328513013,0.5818122293118928,25,-6304.32152974854,0.0034331781789660454,1176450050,,,,0,,1,,30.478321075439453,0.0,7.671281903963041,0.0,1.0,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,24,0.0,81921,146057926780951,7,36.836151123046875,672.3688183696117,0.15,25,11716.88150108169,0.002545685041695833,1176450050,,,,0,,1,,33.07615280151367,2.6484485142856093,7.671281903963041,2.6484485142856093,1.0,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,25,0.0,81921,146057930673441,14,30.731943130493164,-263.2622327752747,0.73767303374045,16,-4611.187172580574,340282346638528860000000000000000000000,1176450050,,,,0,,1,,26.971942901611328,0.1455191536427875,7.671281903963041,0.1455191536427875,1.0,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,32,0.0,81921,146057924611695,14,32.51332473754883,-5.708890283251449,0.6564759745165154,16,-121.73672217854855,340282346638528860000000000000000000000,1176450050,,,,0,,1,,28.753326416015625,9.196810540047126,7.671281903963041,9.196810540047126,1.0,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,12,0.0,32867,70439933316598,40,37.65750503540039,-194.44227195651376,0.15,16,-2752.0500435640424,340282346638528860000000000000000000000,1601437440,,,,0,,3,,33.74750518798828,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,11,0.0,32867,70439931607735,33,45.741764068603516,474.9803395826684,0.15,17,6716.267145284512,0.09433094662057623,1602000000,,,,0,,3,,41.831764221191406,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,21,0.0,32867,70439932179577,33,40.452606201171875,-46.2612173976334,0.15,17,-669.5660180089308,0.09476544550668375,1604249980,,,,0,,3,,36.542606353759766,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,10,0.0,81955,146043867335263,11,36.35271072387695,261.3132274990178,0.15,17,3363.307873535658,0.09820849416349982,1561097980,,,,0,,5,,32.442710876464844,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,19,0.0,16384,146043913900682,1000000000,21.974300384521484,589.4201626528306,299792458,16,1369.4594037981722,340282346638528860000000000000000000000,1561097980,,,,0,,5,,18.064300537109375,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,22,0.0,81955,146043914682346,10,37.34131622314453,157.02484706294638,0.15,16,1108.2425730047412,340282346638528860000000000000000000000,1561097980,,,,0,,5,,33.43131637573242,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,27,0.0,81955,146043922506515,7,41.70103073120117,-376.1806490687152,0.15,17,782029.3577686086,0.09720218650103514,1561097980,,,,0,,5,,37.79103088378906,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,28,0.0,81955,146043923713794,6,45.50571823120117,148.55581673019105,0.15,17,263869.2130950966,0.0968240556241103,1561097980,,,,0,,5,,41.59571838378906,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,36,0.0,81955,146043916938116,8,39.90313720703125,-409.9488994248418,0.15,17,781634.5589093753,0.09747411348429476,1561097980,,,,0,,5,,35.99313735961914,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,37,0.0,81955,146043922470407,7,41.87449264526367,490.2373512451045,0.15,17,267865.2527822396,0.09717880669553731,1561097980,,,,0,,5,,37.96449279785156,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,46,0.0,81955,146043927173003,8,39.6193733215332,-59.207523713964235,0.15,17,785734.5613570041,0.097522411756599,1561097980,,,,0,,5,,35.709373474121094,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,22,0.0,81959,146043914682415,8,37.28293228149414,157.13571729401508,0.15,25,1782.3894883106195,0.0025647312868386507,1176450050,,,,0,,5,,33.52293395996094,35.12051118152577,8.171281927711767,35.12051118152577,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,27,0.0,81959,146043922506562,26,28.33248519897461,-375.98095995594804,1.1241528467979016,16,-6222.336884976101,340282346638528860000000000000000000000,1176450050,,,,0,,5,,24.572484970092773,27.67254668456183,8.171281927711767,27.67254668456183,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,28,0.0,81959,146043923713844,32,27.073768615722656,148.2451721802139,0.9045227677056977,16,2273.976007494028,340282346638528860000000000000000000000,1176450050,,,,0,,5,,23.31376838684082,27.78896118237433,8.171281927711767,27.78896118237433,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,36,0.0,81959,146043916938137,7,38.61935043334961,-409.9609986969074,0.15,25,-6773.492943933909,0.0021989785600453615,1176450050,,,,0,,5,,34.859352111816406,-0.045144423887897744,8.171281927711767,-0.045144423887897744,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,37,0.0,81959,146043922470448,50,27.76873207092285,490.4865962496558,0.8730473528376907,16,8044.444162088699,340282346638528860000000000000000000000,1176450050,,,,0,,5,,24.008731842041016,9.277065645104923,8.171281927711767,9.277065645104923,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,46,0.0,81959,146043927173085,7,37.84986877441406,-59.37093205176285,0.15,25,-942.2096701652617,0.0024026751052588224,1176450050,,,,0,,5,,34.08987045288086,52.81723841416391,8.171281927711767,52.81723841416391,1.5000000237487257,Q,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,3,0.0,85026,146057912786374,19,38.444515228271484,-110.48285838847806,0.15,25,-1099.9778753578994,0.0017046682769432664,1575420030,,,,0,,6,,34.534515380859375,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665824412045000
Raw,1701102839999,14565000000,,,-1385138043434900600,0.0,6.826627683705118,,,194,5,0.0,85026,146057921575824,44,27.893617630004883,405.0096357430996,0.871137670195647,16,5171.348086340278,340282346638528860000000000000000000000,1575420030,,,,1,,6,,23.983617782592773,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665824412045000
